date,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2017-01-15,0,0,0,0,99.99838146475336,0,0,0,48.33054330996395,0,52.867187001809654,0,0,0,0,0,13.104020458834835,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,142.63371917871424,0,57.80453443479445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,77.85717789271786,0,48.65135550136836,0,0,0,0,0,17.698120032605395,0,0,0,0,0,0,0,0,0,0,0
2017-02-05,0,0,0,0,0,0,0,0,56.37329343670141,0,56.7461397246603,0,0,0,0,0,17.864721219417277,0,0,0,0,0,0,0,0,0,0,0
2017-02-12,0,0,0,0,0,0,0,0,57.667447229978144,0,89.57741993986586,0,0,0,0,0,12.49501638101096,0,0,0,0,0,0,0,0,0,0,0
2017-02-19,0,0,0,0,0,0,0,0,57.01165279711144,0,141.90995289553908,0,0,0,0,0,11.948634283084086,0,0,0,0,0,0,0,0,0,0,0
2017-02-26,0,0,0,0,0,0,0,0,46.76609481992317,0,106.65215550103206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-05,0,0,0,0,0,0,0,0,70.09989351893253,0,135.76640516239155,0,0,0,0,0,14.1409720194985,0,0,0,0,0,0,0,0,0,0,0
2017-03-12,0,0,0,0,0,0,0,0,116.20090981571576,0,176.05748639551595,0,0,0,0,0,16.197441674628987,0,0,0,0,0,0,0,0,0,0,0
2017-03-19,0,0,0,0,0,0,0,0,70.9174615056511,0,171.91998642504169,0,0,0,0,0,20.269215964301345,0,0,0,0,0,0,102.34610689123907,0,0,0,0
2017-03-26,0,0,0,0,0,0,0,0,72.44424478054447,0,351.26314001241286,0,0,0,0,0,13.734499026046551,0,0,0,0,0,0,0,0,0,0,0
2017-04-02,0,0,0,0,0,0,0,0,128.31272557648333,0,318.43674665874835,0,0,0,0,0,12.653504560762984,0,0,0,0,0,0,155.62820840421486,0,0,0,0
2017-04-09,0,0,0,0,0,15.172658827373576,0,0,153.62543335519587,0,413.6167331043693,0,0,0,0,0,55.59985666729312,0,0,0,0,0,0,628.4817283138369,0,0,0,0
2017-04-16,0,0,0,0,0,0,0,0,138.90712808934418,0,318.74671475309987,9.037523643508116,0,0,0,0,19.107150147391867,0,0,0,0,0,0,403.698251537117,0,0,0,0
2017-04-23,0,0,0,0,0,0,0,0,112.63728184470688,0,224.7515742490176,0,0,0,0,0,16.48876771775629,0,0,0,0,0,0,216.45806394616923,0,0,0,0
2017-04-30,0,0,0,0,0,0,0,0,136.9936501608786,0,165.03998181137698,0,0,0,0,0,17.855480195725573,0,0,0,0,0,0,183.17523880413725,0,0,0,0
2017-05-07,0,373.6608540868654,0,0,0,0,0,0,96.25005067660042,0,225.46066220915813,0,0,0,0,0,0,0,0,0,0,0,0,116.69283544768892,0,0,0,0
2017-05-14,0,113.38989176319916,0,0,0,0,0,0,87.45173371317276,0,334.20625014516054,0,0,0,0,0,12.519719751802809,0,0,0,0,0,0,151.64182580393944,0,0,0,0
2017-05-21,0,76.28383946713417,0,0,0,0,0,0,127.2204531012638,0,428.90235383702736,0,0,0,0,0,36.12149132595909,0,0,0,0,0,0,187.69888043325577,0,0,0,0
2017-05-28,0,110.38761805668815,0,0,0,17.907184915605047,0,0,195.59142724479312,0,428.79088195440073,0,0,0,0,0,22.51060278341824,0,0,0,0,0,0,135.44240177255568,0,0,0,0
2017-06-04,0,0,0,0,0,14.241451854803556,0,0,135.40544919720907,0,315.0336770405538,0,0,0,0,0,29.49720423078188,0,0,0,0,0,0,131.42897366151266,0,0,0,0
2017-06-11,0,0,0,0,0,9.76345151764395,0,0,209.97368780680793,0,361.73170735831104,0,0,0,0,0,18.034174985843237,0,0,0,0,0,0,314.55677977088334,0,0,0,0
2017-06-18,0,91.29220282683843,0,0,0,11.968795931393837,0,0,246.80783577689684,0,401.68867643874586,0,0,0,0,0,21.56693724641036,0,0,0,0,0,0,214.6672285538737,0,0,0,0
2017-06-25,0,0,0,0,0,0,0,0,163.6568374843342,0,245.87349174180912,0,0,0,0,0,27.09447083938034,0,0,0,0,0,0,229.09563020712417,0,0,0,0
